"id";"respostapergunta_id";"opcao_id"
1197;1373;54
1199;1373;55
1201;1373;56
1203;1373;57
1205;1373;58
1206;1373;131
1209;1383;70
1211;1393;71
1213;1393;72
1215;1393;73
1217;1393;75
1219;1393;74
1221;1393;134
1227;1396;83
1229;1396;84
1231;1396;85
1233;1396;87
1235;1397;136
1237;1397;137
1239;1397;138
1241;1397;139
1243;1419;104
3097;1103;49
1249;111;26
1251;820;106
1253;820;107
1255;820;109
1257;820;110
1259;820;111
3120;1948;82
1263;122;40
1264;122;41
1266;122;42
1269;122;43
1271;433;95
1273;433;96
1275;433;97
1277;433;100
1279;433;102
1281;166;99
1283;433;101
1287;821;113
3128;1950;85
1289;821;114
1293;821;116
1295;440;103
1297;823;24
1299;823;22
1303;825;123
1305;825;125
1307;825;119
1311;394;53
1313;394;54
1314;394;55
1317;394;56
1319;394;57
1321;394;131
1323;828;32
1325;828;37
1327;828;31
1329;828;36
1331;828;38
1337;834;40
1339;834;41
1341;834;42
1343;834;43
1345;404;70
3136;1951;137
3151;1268;21
1353;414;71
1355;414;72
1357;414;73
1359;414;74
1361;414;75
1363;414;134
1365;415;80
1367;837;50
1369;837;52
1371;837;51
1373;839;53
1375;839;54
1377;839;56
1379;839;58
1381;848;133
1383;848;132
1385;848;66
1387;848;64
1389;848;65
1391;848;63
1393;848;62
1395;848;61
1397;848;60
1399;848;59
1401;849;67
1403;849;68
1405;849;69
1407;860;80
1409;1443;106
1411;1443;107
1413;1443;108
1415;1443;109
1417;1443;110
1419;1443;111
1421;1444;113
1423;1444;114
1425;1444;116
1427;1446;22
1429;1446;23
1431;1446;25
1433;1446;26
1435;1448;120
1437;1451;31
1438;1451;32
1439;1451;33
1441;1451;34
1444;1451;35
1446;1451;36
1449;1451;37
1450;1451;38
1453;1451;39
1455;1393;135
1457;503;75
1459;503;134
1461;1394;81
1465;1532;106
1467;1532;107
1469;1532;109
1471;1532;110
1473;1533;113
1477;1533;114
1479;1546;40
1481;1546;41
1485;1546;42
1487;1546;43
1489;1548;44
1491;1548;45
1493;1548;46
1495;1548;48
1497;1548;49
1499;1548;128
1501;1549;51
1503;1551;53
1505;1551;54
1507;1551;55
1509;1551;56
1511;1551;57
1513;1551;58
1515;1551;131
1517;1561;67
1519;1561;68
1521;1571;71
1523;1571;72
1525;1571;73
1527;1571;74
1529;1571;75
1531;1571;134
1533;1571;135
1535;1572;78
1537;1572;80
1539;1572;81
1541;1572;82
1543;1590;98
1545;1590;99
1547;1590;100
1549;1590;101
1551;1590;102
1553;1590;97
1555;1590;96
1557;1590;95
1559;1597;103
1561;1518;15
1563;1519;19
1565;1696;15
1567;1696;16
1569;1696;17
1571;1697;18
1573;1697;19
1577;1412;96
1579;1412;100
1581;1412;97
1583;1412;98
1585;1087;106
1587;1087;107
1589;1087;108
1591;1087;109
1593;1087;110
1595;1087;111
1597;1090;21
1599;1090;22
1603;1090;25
1605;1090;24
1606;1412;95
1609;1412;102
1611;1090;23
1613;1092;119
1615;1092;118
1617;1092;122
1619;1095;31
1621;1095;32
1623;1095;33
1625;1095;34
1627;1095;35
1629;1095;36
1631;1095;37
1633;1095;38
1635;1095;39
1637;1126;71
1639;1126;72
1641;1126;73
1643;1126;74
1645;1152;104
1647;1362;32
1649;1362;39
1651;1362;35
1653;1371;52
1676;183;17
1678;183;16
1680;183;15
1682;1812;26
1686;184;18
1688;184;19
1692;1817;31
1697;1867;97
1730;1457;40
1732;1457;41
1734;1457;42
1736;1457;43
1738;1459;45
1740;1459;46
1742;1459;47
1744;1460;51
1746;1460;52
1748;1462;53
1750;1462;54
1752;1462;55
1754;1462;56
1756;1462;57
1758;1462;131
1760;1471;59
1762;1471;61
1764;1471;62
1766;1471;63
1768;1471;64
1772;1471;66
1776;1471;132
1778;1471;133
1780;1472;69
1782;1472;68
1784;1472;67
1786;1482;71
1788;1482;72
1790;1482;73
1792;1482;74
1794;1482;75
1796;1483;80
1829;1809;106
1831;1809;107
1833;1809;108
1835;1809;109
1837;1809;110
1839;1809;111
1841;1810;113
1843;1810;114
1845;1810;115
1847;1810;116
1849;1710;106
1851;1710;107
1853;1710;108
1855;1710;109
1857;1710;110
1859;1710;111
1861;1711;113
1863;1711;114
1865;1711;115
1867;1711;116
1869;1713;21
1871;1713;22
1873;1713;23
1875;1713;24
1877;1713;27
1879;1713;28
1881;1713;29
1883;1713;30
1885;1715;120
1887;1715;121
1889;1715;122
1891;1715;125
1893;1715;127
1895;1718;32
1897;1718;33
1899;1718;34
1901;1718;36
1903;1718;37
1905;1718;38
1907;1768;97
1909;1768;100
1911;1768;101
3099;1145;101
1928;823;21
1930;197;106
1932;197;107
1938;197;110
1940;197;111
1942;825;118
1946;825;122
1950;823;25
1952;823;29
1954;825;126
1956;828;33
1958;828;34
1960;828;35
1962;828;39
1964;1485;83
1966;1485;84
1968;1485;85
1970;1485;86
1972;1485;87
1974;1485;88
1976;1485;89
1982;198;116
1984;198;114
1986;198;113
1988;1501;95
1990;1501;99
1992;1508;103
1994;1486;136
1996;1486;137
1998;1486;138
2000;1486;139
2004;200;22
2006;859;71
2007;859;72
2008;859;73
2012;859;74
2014;859;75
2018;859;134
2022;200;23
2024;200;30
2026;200;28
2028;200;27
2030;200;24
2032;200;26
2034;200;29
2036;200;25
2038;878;96
2040;878;99
2042;878;95
2044;878;102
2046;878;97
2060;1812;21
2062;1812;22
2064;1812;23
2066;1812;24
2068;1812;29
2070;1812;28
2074;1812;27
2076;1812;25
2078;1814;122
2080;1814;126
2082;1814;119
2084;1817;32
2086;1817;33
2088;1817;34
2092;1817;36
2094;1817;37
2096;1817;38
2098;1817;39
2100;1823;40
2102;1823;41
2104;1823;42
2106;1823;43
2108;1826;50
2110;1826;51
2112;1826;52
2114;1828;53
2116;1828;54
2118;1828;55
2120;1828;56
2122;1828;57
2124;1828;58
2126;1828;131
2128;1837;61
2130;1837;62
2132;1837;63
2134;1837;64
2136;1837;65
2138;1837;66
2140;1837;133
2142;1838;67
2144;1838;68
2146;1838;69
2148;1848;71
2150;1848;72
2152;1848;73
2154;1848;74
2156;1848;75
2158;1848;134
2160;1848;135
2162;1849;76
2164;1849;79
2166;1849;80
2168;1849;77
2170;1851;83
2172;1851;84
2174;1851;85
2176;1851;87
2178;1852;148
2180;1874;103
2192;569;48
2194;569;128
2196;570;51
2198;572;53
2200;572;54
2202;572;56
2204;572;55
2206;572;57
2212;582;70
2214;592;72
2216;592;71
2218;592;73
2220;592;74
2222;592;134
2224;592;75
2226;593;80
2228;593;81
2230;593;82
2264;1727;50
2266;1727;51
2268;1727;52
2270;1729;53
2272;1729;54
2274;1729;56
2276;1729;57
2278;1729;131
2280;1738;59
2282;1738;60
2284;1738;61
2286;1738;62
2288;1738;63
2290;1738;64
2292;1738;66
2294;1738;132
2296;1738;133
2298;1739;67
2300;1739;68
2302;1739;69
2304;1749;71
2306;1749;72
2308;1749;73
2310;1749;74
2312;1749;75
2314;1750;79
2316;1750;80
2318;1750;81
2320;912;26
3122;1948;81
2324;914;123
2328;917;32
2330;917;39
2332;923;40
2334;923;41
2336;923;42
2338;923;43
2342;885;104
3130;1950;87
2390;1268;25
2392;1268;26
2394;1282;51
2423;1307;83
3138;1951;138
2427;1307;87
2429;1307;88
2431;1307;89
2433;1308;136
2435;1308;137
2437;1308;138
2439;1308;139
2441;806;17
2442;806;15
2445;807;19
2447;836;46
2449;213;1
2453;214;50
2457;214;51
2461;216;53
2463;216;54
2465;216;55
2467;216;56
2469;216;57
2471;216;58
2473;216;131
2475;1621;106
2477;1621;107
2479;1621;108
2481;1621;109
2483;1621;110
2485;1621;111
2489;1622;113
2491;1622;116
2493;1622;114
2495;1624;23
2497;1624;24
2501;1624;22
2503;1624;25
2505;1624;28
2507;1626;121
2509;1626;118
2511;1626;125
2513;1626;127
2515;1629;31
2517;1629;32
2519;1629;34
2523;1629;35
2525;1629;36
2527;1629;39
2531;1635;40
2533;1635;41
2535;1635;42
2537;1635;43
2539;1637;44
2541;1638;50
2543;1638;51
2545;1638;52
2547;1640;53
2549;1640;54
2551;1640;55
2553;1640;56
2555;1640;57
2557;1640;131
2559;825;127
2565;878;100
2567;1650;67
2569;1650;68
2571;1650;69
2573;1660;71
2575;1660;72
2577;1660;73
2579;1660;74
2581;1660;75
2583;1661;81
2585;1661;80
2587;1661;77
2589;226;70
2591;1663;85
2593;1664;148
2595;236;71
2597;236;72
2599;236;73
2601;236;74
2603;236;75
2605;236;134
2607;236;135
2609;1679;99
2611;1679;96
2613;1679;101
2615;1679;98
2617;1679;97
2619;1679;102
2623;1686;104
2625;237;77
2627;1724;40
2629;1724;41
2631;1724;42
2658;1775;103
2660;1867;95
2662;1867;96
2664;1867;99
2666;1867;100
2668;1867;102
2670;1726;1
2691;173;104
2720;239;84
2722;239;86
2724;239;87
2753;1966;95
2755;1966;100
2757;1966;101
2759;1966;97
2761;1966;96
2763;1825;1
2798;1908;106
2800;1908;107
2802;1908;109
2804;1908;110
2806;1908;111
2819;1909;113
2821;1909;114
2823;1909;116
2825;1104;50
2827;1104;51
2829;1104;52
2852;1129;87
2854;1129;88
2856;1129;86
2858;1129;84
2860;1129;89
2862;1129;85
2864;1129;83
2885;1911;21
2918;1911;22
2920;1911;23
2922;1911;25
2924;1911;28
2926;1911;29
2928;1911;30
2930;1911;26
2932;1913;118
2934;1913;119
2936;1913;121
2938;1913;122
2940;1913;125
2942;1913;126
2944;1913;127
2946;1916;32
3124;1950;83
3132;1950;88
2952;1916;36
2954;1916;37
2956;77;102
3140;1951;139
2960;6;19
2962;1916;31
3217;914;124
2966;1916;38
2970;1916;35
2972;1916;33
2974;1916;34
2984;262;103
2986;1973;103
2988;255;96
3225;951;84
2994;255;100
2996;255;102
2998;1924;128
2999;1924;129
3002;1925;50
3004;1925;51
3006;1925;52
3008;1330;103
3010;1927;53
3012;1927;54
3014;1927;55
3016;1927;56
3018;1927;57
3020;1927;131
3022;1937;67
3024;1937;68
3026;1937;69
3233;951;86
3050;214;52
3052;1947;71
3054;1947;72
3056;1947;73
3058;1947;74
3060;1947;75
3235;952;136
3237;952;137
3241;952;139
3070;240;148
3076;239;83
3083;1103;1
3085;912;25
3247;949;78
3249;949;82
3251;949;77
3265;967;95
3267;967;96
3269;967;97
3271;967;98
3273;967;99
3275;967;100
3277;967;101
3281;948;71
3282;948;72
3285;948;73
3287;948;74
3314;1176;106
3315;1176;107
3318;1176;108
3322;1176;110
3324;1176;111
3326;1176;109
3328;1177;113
3330;1177;115
3332;1179;22
3334;1179;23
3336;1179;27
3338;1179;28
3340;1179;21
3342;1179;24
3344;1179;25
3346;1179;29
3348;1179;26
3352;1184;35
3354;1184;37
3356;1184;38
3358;1190;40
3360;1190;41
3362;1190;42
